# generated by scripts/hash-check.py from PathOfBuilding/src/Data/Mod*.lua @ 16de4b82, poe1/data/mods.json and stat_translations.json @ e2bd511a, ../trade-query/data/stats-2026-09-12.json
trade_number,group,class,reason,mods,table,mod,pob_description,export_numbers,capture_categories,export_string
1939452467,base_energy_shield_leech_from_cold_damage_permyriad,reproduced,,2,ModExplicit,ColdDamageESLeechInfluence1__,(0.2-0.4)% of Cold Damage Leeched as Energy Shield,1939452467,explicit fractured,{0}% of Cold Damage Leeched as Energy Shield
1940865751,local_minimum_added_physical_damage|local_maximum_added_physical_damage,reproduced,,138,ModCorrupted,V2LocalAddedPhysicalDamage1hCorrupted1,Adds 1 to 2 Physical Damage,1940865751,crafted explicit fractured implicit scourge,Adds {0} to {1} Physical Damage
1941745370,soulcord_have_echoing_shrine_effect_if_affected_by_no_flasks,reproduced,,1,ModItemExclusive,SoulcordEchoingShrineUnique__1,You have Echoing Shrine Buff while affected by no Flasks,1941745370,explicit,You have Echoing Shrine Buff while affected by no Flasks
1942151132,lightning_damage_resistance_is_%,reproduced,,2,ModItemExclusive,LightningResistanceOverrideUnique__1_,Lightning Resistance is 75%,1942151132,explicit implicit,Lightning Resistance is {0}%
1943415243,local_display_grants_skill_touch_of_fire_level,reproduced,,1,ModItemExclusive,GrantsTouchOfFireUnique__1,Grants Level 20 Approaching Flames Skill,1943415243,explicit,Grants Level {0} Approaching Flames Skill
1944316218,purity_of_ice_aura_effect_+%,reproduced,,18,ModEldritch,PurityOfIceEffectEldritchImplicit1,Purity of Ice has (19-21)% increased Aura Effect,1944316218,implicit,Purity of Ice has {0}% increased Aura Effect
1945948244,graft_skill_jolt_buff_movement_velocity_+%_to_grant,explained,stat group has no translation entry,1,ModGraft,GraftSuffixJoltGrantsMovementVelocity1,Jolt granted by this Graft grants 1% increased Movement Speed,,explicit,
1948127742,local_affliction_jewel_small_nodes_grant_minion_attack_and_cast_speed_+%_while_you_are_affected_by_a_herald,reproduced,,3,ModJewelCluster,AfflictionJewelSmallPassivesGrantHeraldMinionAttackAndCastSpeed,Added Small Passive Skills also grant: Minions have 1% increased Attack and Cast Speed while you are affected by a Herald,1948127742,explicit fractured,Added Small Passive Skills also grant: Minions have {0}% increased Attack and Cast Speed while you are affected by a Herald
1948535732,local_display_socketed_gems_supported_by_x_focused_channelling_level,reproduced,,1,ModFoulborn,MutatedUniqueGlovesInt4DisplaySocketedGemsSupportedByFocusedChannelling,Socketed Gems are Supported by Level 18 Focused Channelling,1948535732,explicit,Socketed Gems are Supported by Level {0} Focused Channelling
1950806024,cold_dot_multiplier_+,reproduced,,63,ModEldritch,ColdDamageOverTimeMultiplierEldritchImplicit1,+(5-7)% to Cold Damage over Time Multiplier,1950806024,crafted explicit fractured implicit scourge,{0}% to Cold Damage over Time Multiplier
1952992278,you_and_allies_additional_spell_block_%_if_cast_spell_recently,reproduced,,2,ModJewelCharm,AnimalCharmSpellBlockChanceIfCastSpellRecently1,"If you've Cast a Spell Recently, you and nearby Allies have +(4-5)% Chance to Block Spell Damage",1952992278,explicit,"If you've Cast a Spell Recently, you and nearby Allies have {0}% Chance to Block Spell Damage"
1953432004,base_unaffected_by_poison,reproduced,,4,ModExplicit,ImmuneToDesecratedGroundUberMaven,Unaffected by Poison,1953432004,explicit implicit,Unaffected by Poison
1954526925,local_immune_to_curses_if_item_corrupted,reproduced,,1,ModSynthesis,SynthesisImplicitImmuneToCursesCorruptedItem1,Immune to Curses if Corrupted,1954526925,implicit,Immune to Curses if Corrupted
1955882986,regenerate_X_life_over_1_second_on_cast,reproduced,,1,ModItemExclusive,RegenerateLifeOnCastUniqueWand4,Regenerate (6-8) Life over 1 second when you Cast a Spell,1955882986,explicit,Regenerate {0} Life over 1 second when you Cast a Spell
1955994922,enemies_that_hit_you_inflict_temporal_chains,reproduced,,1,ModItemExclusive,EnemyTemporalChainsOnHitUnique__1,Enemy Hits inflict Temporal Chains on you,1955994922,explicit,Enemy Hits inflict Temporal Chains on you
1957711555,withered_on_hit_for_2_seconds_%_chance,reproduced,,4,ModItemExclusive,WitherOnHitChanceUnique__1,(20-25)% chance to inflict Withered for 2 seconds on Hit,1957711555,explicit implicit,{0}% chance to inflict Withered for 2 seconds on Hit
1958210928,summoned_skeletons_have_avatar_of_fire,reproduced,,1,ModItemExclusive,SkeletonsHaveAvatarOfFireUnique__1_,Summoned Skeletons have Avatar of Fire,1958210928,explicit,Summoned Skeletons have Avatar of Fire
1959092146,chaos_damage_with_attack_skills_+%,reproduced,,2,ModSynthesis,SynthesisImplicitChaosDamageAttacksJewel1___,(3-4)% increased Chaos Damage with Attack Skills,1959092146,implicit,{0}% increased Chaos Damage with Attack Skills
1959256242,gain_onslaught_while_not_on_low_mana,reproduced,,2,ModItemExclusive,OnslaughtWhileNotOnLowManaUnique__1_,You have Onslaught while not on Low Mana,1959256242,explicit implicit,You have Onslaught while not on Low Mana
1960314688,spells_corrosion_on_hit_%,reproduced,,1,ModItemExclusive,VillageSpellCorrosionOnHitChance,(10-20)% chance to inflict Corrosion on Hit with Spells,1960314688,enchant,{0}% chance to inflict Corrosion on Hit with Spells
1960833438,life_regeneration_rate_per_minute_%_per_500_maximum_energy_shield,reproduced,,2,ModItemExclusive,LifeRegenerationPer500EnergyShieldUnique__1,Regenerate 1% of Life per second per 500 Player Maximum Energy Shield,1960833438,explicit implicit,Regenerate {0}% of Life per second per 500 Player Maximum Energy Shield
1960869129,minion_life_%_to_gain_as_flesh_shield_on_nearby_minion_death,reproduced,,1,ModItemExclusive,FleshShieldOnMinionDeathUnique__1,"When a nearby Minion dies, gain Rotten Bulwark equal to (7-9)% of its maximum Life",1960869129,explicit,"When a nearby Minion dies, gain Rotten Bulwark equal to {0}% of its maximum Life"
1961864874,local_ring_impaled_debuff_duration_+%_final,reproduced,,1,ModItemExclusive,ImpaleDurationUnique_1,(40-50)% less Impale Duration,1961864874,explicit,{0}% more Impale Duration
1962922582,chance_to_gain_vaal_soul_on_kill_%,reproduced,,11,ModDelve,DelveArmourVaalSoulsOnKill1_,(5-8)% chance to gain an additional Vaal Soul on Kill,1962922582,enchant explicit fractured implicit,{0}% chance to gain an additional Vaal Soul on Kill
1962944794,soulcord_have_diamond_shrine_effect_if_affected_by_no_flasks,reproduced,,1,ModItemExclusive,SoulcordDiamondShrineUnique_1,You have Diamond Shrine Buff while affected by no Flasks,1962944794,explicit,You have Diamond Shrine Buff while affected by no Flasks
1963398329,local_can_have_additional_crafted_mods,reproduced,,2,ModItemExclusive,WeaponEnchantmentHeistAdditionalCraftingModifier1_,Can have 1 additional Crafted Modifier,1963398329,enchant,Can have {0} additional Crafted Modifier
1963540179,local_weapon_crit_chance_is_100,reproduced,,2,ModItemExclusive,LocalAttacksAlwaysCritUnique__1,This Weapon's Critical Strike Chance is 100%,1963540179,explicit,This Weapon's Critical Strike Chance is 100%
1963942874,critical_strike_multiplier_+_vs_burning_enemies,reproduced,,2,ModJewelCharm,AnimalCharmCritVsBurningAndShockedEnemies1,+(10-15)% to Critical Strike Multiplier against Burning Enemies,1963942874,explicit,{0}% to Critical Strike Multiplier against Burning Enemies
1964333391,lightning_damage_taken_per_minute_per_power_charge_if_have_crit_recently,reproduced,,1,ModItemExclusive,DamageTakenPerPowerChargeOnCritUnique__1,300 Lightning Damage taken per second per Power Charge if / your Skills have dealt a Critical Strike Recently,1964333391,explicit,{0} Lightning Damage taken per second per Power Charge if\nyour Skills have dealt a Critical Strike Recently
1965393792,local_display_grants_skill_death_wish_level,reproduced,,1,ModItemExclusive,GrantsDeathWishUnique__1__,Grants Level 20 Death Wish Skill,1965393792,explicit,Grants Level {0} Death Wish Skill
1966051190,local_display_socketed_gems_supported_by_level_x_reduced_block_chance,reproduced,,1,ModItemExclusive,HungryLoopSupportedByReducedBlockChance,Socketed Gems are Supported by Level 20 Block Chance Reduction,1966051190,explicit,Socketed Gems are Supported by Level {0} Block Chance Reduction
1966815700,local_unique_jewel_cold_damage_+1%_per_x_int_in_radius,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,AdditionalGlacialCascadeSequenceUniqueJewel58,Cold Damage is increased by 1% per 8 Intelligence from Allocated Passives in Radius,,not in capture,
1966978922,area_of_effect_+%_with_500_or_more_strength,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,AreaOfEffectWith500StrengthUber1,30% increased Area of Effect if you have at least 500 Strength,,not in capture,
1968872681,consecrate_ground_for_3_seconds_when_hit_%,reproduced,,1,ModScourge,HellscapeUpsideConsecrateGroundFor3SecondsWhenHit1,"Create Consecrated Ground when Hit, lasting 8 seconds",1968872681,scourge,"{0}% chance to create Consecrated Ground when Hit, lasting 8 seconds"
1970606344,cold_damage_+%_while_affected_by_herald_of_ice,reproduced,,1,ModItemExclusive,HeraldBonusIceColdDamage,(40-60)% increased Cold Damage while affected by Herald of Ice,1970606344,explicit,{0}% increased Cold Damage while affected by Herald of Ice
1970730266,ghost_lantern_%_chance_for_burning_enemy_to_create_soul,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,GhostLanternSoulOnKillChance__1,,,not in capture,
1970781345,local_display_socketed_attack_damage_+%_final,reproduced,,8,ModDelve,DelveWeaponSocketedAttacksDamageFinal1h1,Socketed Skills deal 40% more Attack Damage,1970781345,explicit fractured,Socketed Skills deal {0}% more Attack Damage
1971757986,chaos_damage_over_time_heals_while_leeching_life,reproduced,,1,ModItemExclusive,ChaosDamageOverTimeHealsLeechLifeUnique__1,Taking Chaos Damage over Time heals you instead while Leeching Life,1971757986,explicit,Taking Chaos Damage over Time heals you instead while Leeching Life
1972391381,heist_enchantment_resistance_mod_effect_+%,reproduced,,19,ModItemExclusive,ArmourEnchantmentHeistResistanceEffect1__,8% increased Explicit Resistance Modifier magnitudes,1972391381,enchant,{0}% increased Explicit Resistance Modifier magnitudes
1973890509,local_display_cast_animate_weapon_on_kill_%_chance,reproduced,,1,ModItemExclusive,TriggeredAnimateWeaponUnique__1,25% chance to Trigger Level 20 Animate Weapon on Kill,1973890509,explicit,{0}% chance to Trigger Level 20 Animate Weapon on Kill
1974290842,local_socketed_rare_ghastly_jewel_effect_+%,reproduced,,1,ModExplicit,RareGhastlyJewelEffect,(50-75)% increased Effect of Socketed Rare Ghastly Eye Jewels,1974290842,explicit fractured,{0}% increased Effect of Socketed Rare Ghastly Eye Jewels
1974445926,minions_chance_to_poison_on_hit_%,reproduced,,4,ModExplicit,BreachBodyMinionsPoisonEnemiesOnHit1_,Minions have 60% chance to Poison Enemies on Hit,1974445926,explicit fractured,Minions have {0}% chance to Poison Enemies on Hit
1976069869,local_affliction_notable_one_with_the_shield,reproduced,,1,ModJewelCluster,AfflictionNotableOnewiththeShield_,1 Added Passive Skill is One with the Shield,1976069869,explicit fractured,1 Added Passive Skill is One with the Shield
1978899297,additional_maximum_all_elemental_resistances_%,reproduced,,7,ModExplicit,AllResistancesInfluenceMaven____,+1% to all maximum Elemental Resistances,1978899297,explicit scourge,{0}% to all maximum Elemental Resistances
1979658770,local_display_socketed_gems_supported_by_level_x_fire_penetration,reproduced,export text join ambiguous; the hash picks one,4,ModExplicit,FireDamagePrefixOnWeaponFirePenetrationUber1,Socketed Gems are Supported by Level 16 Fire Penetration,1979658770 3265951306,explicit fractured,Socketed Gems are Supported by Level {0} Fire Penetration
1980028507,local_display_supported_by_level_x_awakened_greater_multiple_projectiles,reproduced,,1,ModItemExclusive,HungryLoopSupportedByAwakenedGreaterMultipleProjectiles,Socketed Gems are Supported by Level 5 Awakened Greater Multiple Projectiles,1980028507,explicit,Socketed Gems are Supported by Level {0} Awakened Greater Multiple Projectiles
1980613100,vaal_skill_soul_gain_preventation_duration_+%,reproduced,,1,ModItemExclusive,VaalSoulGainPreventionUnique__1__,(6-8)% reduced Soul Gain Prevention Duration,1980613100,explicit,{0}% increased Soul Gain Prevention Duration
1981078074,ground_tar_when_hit_%_chance,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,GroundTarOnHitTakenUnique__1,20% chance to spread Tar when Hit,,not in capture,
1981749265,your_spells_are_disabled,reproduced,,1,ModItemExclusive,SpellsAreDisabledUnique__1,Your Spells are disabled,1981749265,explicit,Your Spells are disabled
1982144275,life_per_level,reproduced,,1,ModItemExclusive,LifePerLevelUnique__1,+(1-2) Maximum Life per Level,1982144275,explicit,{0} Maximum Life per Level
1984113628,shocked_chilled_effect_on_self_+%,reproduced,,1,ModJewel,ChillAndShockEffectOnYouJewel,15% reduced Effect of Chill and Shock on you,1984113628,crafted explicit fractured,{0}% increased Effect of Chill and Shock on you
1985969957,base_fire_damage_can_poison,reproduced,,2,ModItemExclusive,FireDamageCanPoisonUnique__1,Your Fire Damage can Poison,1985969957,explicit implicit,Your Fire Damage can Poison
1987305786,graft_skill_cover_in_frost_on_hit_%,explained,stat group has no translation entry,1,ModGraft,GraftSuffixCoverInFrost1,Skills used by this Graft have (20-30)% chance to Cover Enemies in Frost on Hit,,explicit,
1989416016,self_debilitated,reproduced,,1,ModMercenary,MercenaryModDebilitate,You are Debilitated,1989416016,explicit fractured,You are Debilitated
1990354706,gain_iron_reflexes_while_at_maximum_frenzy_charges,reproduced,,1,ModItemExclusive,ChargeBonusIronReflexesFrenzyCharges,You have Iron Reflexes while at maximum Frenzy Charges,1990354706,explicit,You have Iron Reflexes while at maximum Frenzy Charges
1991958615,local_display_socketed_gems_supported_by_x_cold_penetration,reproduced,,5,ModExplicit,ColdDamagePrefixOnWeaponColdPenetrationUber1,Socketed Gems are Supported by Level 16 Cold Penetration,1991958615,explicit fractured,Socketed Gems are Supported by Level {0} Cold Penetration
1992516007,local_display_trigger_level_x_spirit_burst_on_skill_use_if_have_spirit_charge,reproduced,,1,ModItemExclusive,LocalDisplayGrantLevelXSpiritBurstUnique__1,Trigger Level 20 Spirit Burst when you Use a Skill while you have a Spirit Charge,1992516007,explicit,Trigger Level {0} Spirit Burst when you Use a Skill while you have a Spirit Charge
1993646143,suppressed_spell_damage_taken_%_recouped_as_es,reproduced,,1,ModItemExclusive,SuppressedDamageRecoupedAsEnergyShield_1,(50-100)% of Suppressed Spell Damage taken Recouped as Energy Shield,1993646143,explicit,{0}% of Suppressed Spell Damage taken Recouped as Energy Shield
1993898498,graft_granted_minimum_base_lightning_damage|graft_granted_maximum_base_lightning_damage,explained,stat group has no translation entry,3,ModGraft,GraftSuffixEshLightningRingBuffAddedLightning1,Radiant Ground created by Skills from this Graft grants Allies on it an additional 4 to 18 added Lightning Damage,,explicit,
1994121713,local_unique_jewel_dot_multiplier_+_per_10_int_unallocated_in_radius,reproduced,,1,ModItemExclusive,DamageOverTimeMultiplierPerUnallocatedIntelligenceUnique__1___,+3% to Damage over Time Multiplier per 10 Intelligence on Unallocated Passives in Radius,1994121713,explicit,{0}% to Damage over Time Multiplier per 10 Intelligence on Unallocated Passives in Radius
1994138363,summoned_phantasms_have_no_duration,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,PermanentPhantasmUnique__1,Summoned Phantasms have no Duration,,not in capture,
